,Unnamed: 0,GENRE,authorKorean,authorEnglish,workTitle,translator,sourceTitle,publisher,yearCreated,authorEnglish2
1121,1121,Fiction,채만식,Ch'ae Manshik,"A Man Called HŭNgbo (Hŭngbo-Sshi, 1939)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1123,1123,Fiction,채만식,Ch'ae Manshik,"A Three-Way Conversation On Kungmin Literature (Kungmin Munhak ŬI Kongjak Chŏngdamhoe, 1941)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1124,1124,Fiction,채만식,Ch'ae Manshik,"A Writing Worm's Life (Munch'Ung Iran Chonjae, 1935)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1125,1125,Fiction,채만식,Ch'ae Manshik,"Angel For A Day (Sŏllyang Hagoshiptŏn Nal, 1960)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1126,1126,Fiction,채만식,Ch'ae Manshik,"Blind Man Shim: A Play In Three Acts (Shim Pongsa, 1947)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1127,1127,Fiction,채만식,Ch'ae Manshik,"Challenges Facing Today's Writers (Hyŏndae Chakka Ch'angjak Koshim Haptamhoe, 1937)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1130,1130,Fiction,채만식,Ch'ae Manshik,"Egg On My Face (Hŏhŏ Mangshin Haettkun, 1930)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1131,1131,Fiction,채만식,Ch'ae Manshik,"In Three Directions (Segillo, 1924)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1132,1132,Fiction,채만식,Ch'ae Manshik,"Juvesenility (Somang, 1938)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1133,1133,Fiction,채만식,Ch'ae Manshik,"Mister Pang (Misŭt'o Pang, 1946)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1135,1135,Fiction,채만식,Ch'ae Manshik,"My ""Flower And Soldier"" (Na ŬI ""Kkot Kwa Pyŏngjŏng,"" 1940)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1140,1140,Fiction,채만식,Ch'ae Manshik,"Skewered Beef (Sanjŏk, 1929)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1141,1141,Fiction,채만식,Ch'ae Manshik,"Sunset (Nakcho, 1948)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1142,1142,Fiction,채만식,Ch'ae Manshik,"The Grasshopper, The Kingfisher, And The Ant (Wangch'I Wa Sosae Wa Kemi, 1941)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1144,1144,Fiction,채만식,Ch'ae Manshik,"Travel Sketches (Yŏhaeng Sup'Il, 1935)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1145,1145,Fiction,채만식,Ch'ae Manshik,"Ungrateful Wretch (Purhyo Chashik, 1925)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1146,1146,Fiction,채만식,Ch'ae Manshik,"Whatever Possessed Me?: A Play In One Act (Yesu Na An Midŏttŭmyŏn, 1937)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1147,1147,Fiction,채만식,Ch'ae Manshik,"Yujŏng And I (Yujŏng Kwa Na, 1937)","Bruce Fulton, Ju-Chan Fulton",Sunset: A Ch'ae Manshik Reader,Columbia University Press,2017.0,Ch'ae Manshik
1197,1197,Fiction,최윤,Ch'oe Yun,The Thirteen-Scent Flower,"Bruce Fulton, Ju-Chan Fulton",There A Petal Silently Falls,Columbia University Press,2008.0,Ch'oe Yun
1198,1198,Fiction,최윤,Ch'oe Yun,There A Petal Silently Falls,"Bruce Fulton, Ju-Chan Fulton",There A Petal Silently Falls,Columbia University Press,2008.0,Ch'oe Yun
1199,1199,Fiction,최윤,Ch'oe Yun,Whisper Yet,"Bruce Fulton, Ju-Chan Fulton",There A Petal Silently Falls,Columbia University Press,2008.0,Ch'oe Yun
1223,1223,Fiction,최인훈,Chʼoe In-hun,End Of The Road (1966),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Ch'oe In hun/Ch'oe In-hun/Chʼoe In-hun
1224,1224,Fiction,최인훈,Chʼoe In-hun,House Of Idols (1960),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Ch'oe In hun/Ch'oe In-hun/Chʼoe In-hun
1226,1226,Fiction,최인훈,Choi In-Hoon,Imprisoned,Chun Kyung-Ja,The Voice Of The Governor General And Other Stories Of Modern Korea,EastBridge,2002.0,Choi In Hoon/Choi In-Hoon
1233,1233,Fiction,최인훈,Choi In-Hoon,The Voice Of The Governor-General,Chun Kyung-Ja,The Voice Of The Governor General And Other Stories Of Modern Korea,EastBridge,2002.0,Choi In Hoon/Choi In-Hoon
1239,1239,Fiction,최정희,Choe Chong-hui,Chom-Nye,Genell Y. Poitras,The Cruel City And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Choe Chong hui/Choe Chong-hui
1240,1240,Fiction,최정희,Choi Jeonghui,Chom-Nye,Genell Y. Poitras,The Cry Of The Harp And Other Korean Short Stories: The Best Korean Short Stories No. 2,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Choi Jeonghui
1243,1243,Fiction,최정희,Choe Chong-hui,Round And Round The Pagoda,Genell Y. Poitras,The Cruel City And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Choe Chong hui/Choe Chong-hui
1244,1244,Fiction,최정희,Choi Jeonghui,Round And Round The Pagoda,Genell Y. Poitras,The Cry Of The Harp And Other Korean Short Stories: The Best Korean Short Stories No. 2,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Choi Jeonghui
1245,1245,Fiction,최정희,Choi Jeonghui,The Cry Of The Harp,Genell Y. Poitras,The Cry Of The Harp And Other Korean Short Stories: The Best Korean Short Stories No. 2,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Choi Jeonghui
1248,1248,Fiction,최정희,Choe Chong-hui,The Ritual At The Well,Genell Y. Poitras,The Cruel City And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Choe Chong hui/Choe Chong-hui
1249,1249,Fiction,최정희,Choi Jeonghui,The Ritual At The Well,Genell Y. Poitras,The Cry Of The Harp And Other Korean Short Stories: The Best Korean Short Stories No. 2,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Choi Jeonghui
1281,1281,Fiction,하근찬,Ha Keun-chan,The Suffering Of Two Generations,Kevin O'Rourke,A Washed-Out Dream,Larchwood Publications Ltd.,1980.0,Ha Keun chan/Ha Keun-chan
1283,1283,Fiction,하근찬,Ha Keun-chan,The White Paper Beard,Kevin O'Rourke,A Washed-Out Dream,Larchwood Publications Ltd.,1980.0,Ha Keun chan/Ha Keun-chan
1288,1288,Fiction,하성란,Ha Seong-nan,Early Beans,Janet Hong,Flowers Of Mold: Stories,Open Letter,2019.0,Ha Seong nan/Ha Seong-nan
1289,1289,Fiction,하성란,Ha Seong-nan,Flag,Janet Hong,Flowers Of Mold: Stories,Open Letter,2019.0,Ha Seong nan/Ha Seong-nan
1290,1290,Fiction,하성란,Ha Seong-nan,Flowers Of Mold,Janet Hong,Flowers Of Mold: Stories,Open Letter,2019.0,Ha Seong nan/Ha Seong-nan
1292,1292,Fiction,하성란,Ha Seong-nan,Nightmare,Janet Hong,Flowers Of Mold: Stories,Open Letter,2019.0,Ha Seong nan/Ha Seong-nan
1293,1293,Fiction,하성란,Ha Seong-nan,Onion,Janet Hong,Flowers Of Mold: Stories,Open Letter,2019.0,Ha Seong nan/Ha Seong-nan
1294,1294,Fiction,하성란,Ha Seong-nan,The Retreat,Janet Hong,Flowers Of Mold: Stories,Open Letter,2019.0,Ha Seong nan/Ha Seong-nan
1295,1295,Fiction,하성란,Ha Seong-nan,The Woman Next Door,Janet Hong,Flowers Of Mold: Stories,Open Letter,2019.0,Ha Seong nan/Ha Seong-nan
1296,1296,Fiction,하성란,Ha Seong-nan,Toothpaste,Janet Hong,Flowers Of Mold: Stories,Open Letter,2019.0,Ha Seong nan/Ha Seong-nan
1298,1298,Fiction,하성란,Ha Seong-nan,Waxen Wings,Janet Hong,Flowers Of Mold: Stories,Open Letter,2019.0,Ha Seong nan/Ha Seong-nan
1300,1300,Fiction,하성란,Ha Seong-nan,Your Rearview Mirror,Janet Hong,Flowers Of Mold: Stories,Open Letter,2019.0,Ha Seong nan/Ha Seong-nan
1308,1308,Fiction,한강,Han Kang, ,Deborah Smith,Human Acts,Portobello Books,2016.0,Han Kang
1310,1310,Fiction,한강,Han Kang, ,Deborah Smith,Human Acts,Portobello Books,2016.0,Han Kang
1370,1370,Fiction,현길언,Hyun Kil-Un,Dead Silence,Kang Hyun-Sook,Dead Silence And Other Stories Of The Jeju Massacre,EastBridge,2006.0,Hyun Kil Un/Hyun Kil-Un
1371,1371,Fiction,현길언,Hyun Kil-Un,Fever,Kang Hyun-Sook,Dead Silence And Other Stories Of The Jeju Massacre,EastBridge,2006.0,Hyun Kil Un/Hyun Kil-Un
1372,1372,Fiction,현길언,Hyun Kil-Un,Fire And Ashes,Kang Hyun-Sook,Dead Silence And Other Stories Of The Jeju Massacre,EastBridge,2006.0,Hyun Kil Un/Hyun Kil-Un
1373,1373,Fiction,현길언,Hyun Kil-Un,Grandfather,Kang Hyun-Sook,Dead Silence And Other Stories Of The Jeju Massacre,EastBridge,2006.0,Hyun Kil Un/Hyun Kil-Un
1374,1374,Fiction,현길언,Hyun Kil-Un,The Dawn,Kang Hyun-Sook,Dead Silence And Other Stories Of The Jeju Massacre,EastBridge,2006.0,Hyun Kil Un/Hyun Kil-Un
1375,1375,Fiction,현길언,Hyun Kil-Un,The Dream Of A Dragon Horse,Kang Hyun-Sook,Dead Silence And Other Stories Of The Jeju Massacre,EastBridge,2006.0,Hyun Kil Un/Hyun Kil-Un
1376,1376,Fiction,현길언,Hyun Kil-Un,The Homecoming,Kang Hyun-Sook,Dead Silence And Other Stories Of The Jeju Massacre,EastBridge,2006.0,Hyun Kil Un/Hyun Kil-Un
1412,1412,Fiction,황석영,Hwang Suk-Young,Neighbors,Chun Kyung-Ja,The Voice Of The Governor General And Other Stories Of Modern Korea,EastBridge,2002.0,Hwang Suk Young/Hwang Suk-Young
1413,1413,Fiction,황석영,Hwang Suk-Young,Pagoda,Chun Kyung-Ja,The Voice Of The Governor General And Other Stories Of Modern Korea,EastBridge,2002.0,Hwang Suk Young/Hwang Suk-Young
1419,1419,Fiction,황석영,Hwang Suk-Young,The Uninvited Minstrel,Chun Kyung-Ja,The Voice Of The Governor General And Other Stories Of Modern Korea,EastBridge,2002.0,Hwang Suk Young/Hwang Suk-Young
1423,1423,Fiction,황순원,Hwang Sunwŏn, ,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1433,1433,Fiction,황순원,Hwang Sun-Won,A Matter Of Custom,Edward W. Poitras,The Stars And Other Korean Short Stories,Heinemann Asia,1980.0,Hwang Sun Won/Hwang Sun-Won
1435,1435,Fiction,황순원,Hwang Sun-Won,A Numerical Enigma,Edward W. Poitras,The Stars And Other Korean Short Stories,Heinemann Asia,1980.0,Hwang Sun Won/Hwang Sun-Won
1437,1437,Fiction,황순원,Hwang Sun-Won,"A Tree, A Rock, And …",Suh Ji-Moon,The Book Of Masks: Stories,Readers International,1989.0,Hwang Sun Won/Hwang Sun-Won
1439,1439,Fiction,황순원,Hwang Sunwŏn,Adverbial Avenue,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1440,1440,Fiction,황순원,Hwang Sun-Won,An Old Man's Birthday,Edward W. Poitras,The Stars And Other Korean Short Stories,Heinemann Asia,1980.0,Hwang Sun Won/Hwang Sun-Won
1442,1442,Fiction,황순원,Hwang Sunwŏn,Autumn With Piano,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1443,1443,Fiction,황순원,Hwang Sun-Won,Blood,Martin Holman,The Book Of Masks: Stories,Readers International,1989.0,Hwang Sun Won/Hwang Sun-Won
1444,1444,Fiction,황순원,Hwang Sunwŏn,Booze,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1445,1445,Fiction,황순원,Hwang Sunwŏn,Bulls,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1447,1447,Fiction,황순원,Hwang Sun-Won,Coarse Sand,Edward W. Poitras,The Stars And Other Korean Short Stories,Heinemann Asia,1980.0,Hwang Sun Won/Hwang Sun-Won
1448,1448,Fiction,황순원,Hwang Sun-Won,Conch Shells,Edward W. Poitras,The Stars And Other Korean Short Stories,Heinemann Asia,1980.0,Hwang Sun Won/Hwang Sun-Won
1449,1449,Fiction,황순원,Hwang Sun-Won,Conversation In June About Mothers,Suh Ji-Moon,The Book Of Masks: Stories,Readers International,1989.0,Hwang Sun Won/Hwang Sun-Won
1454,1454,Fiction,황순원,Hwang Sunwŏn,Custom,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1455,1455,Fiction,황순원,Hwang Sunwŏn,Deathless,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1460,1460,Fiction,황순원,Hwang Sunwŏn,House,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1461,1461,Fiction,황순원,Hwang Sun-Won,In A Small Island Village,Martin Holman,The Book Of Masks: Stories,Readers International,1989.0,Hwang Sun Won/Hwang Sun-Won
1463,1463,Fiction,황순원,Hwang Sunwŏn,Lost Souls,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1464,1464,Fiction,황순원,Hwang Sunwŏn,Mantis,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1465,1465,Fiction,황순원,Hwang Sun-Won,Masks,Martin Holman,The Book Of Masks: Stories,Readers International,1989.0,Hwang Sun Won/Hwang Sun-Won
1466,1466,Fiction,황순원,Hwang Sun-won,Masks,Edward W. Poi,The Drizzle And Other Korean Short Stories: Modern Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Hwang Sun won/Hwang Sun-won
1468,1468,Fiction,황순원,Hwang Sunwŏn,My Father,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1470,1470,Fiction,황순원,Hwang Sun-Won,Nature,"Bruce Fulton, Ju-Chan Fulton",The Book Of Masks: Stories,Readers International,1989.0,Hwang Sun Won/Hwang Sun-Won
1471,1471,Fiction,황순원,Hwang Sunwŏn,Passing Rain,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1472,1472,Fiction,황순원,Hwang Sunwŏn,Pibari,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1478,1478,Fiction,황순원,Hwang Sunwŏn,Scarecrow,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1479,1479,Fiction,황순원,Hwang Sun-Won,Shadows Of A Sound,Martin Holman,The Book Of Masks: Stories,Readers International,1989.0,Hwang Sun Won/Hwang Sun-Won
1485,1485,Fiction,황순원,Hwang Sunwŏn,Swine,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1486,1486,Fiction,황순원,Hwang Sunwŏn,The Broken Reed,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1487,1487,Fiction,황순원,Hwang Sun-Won,The Calf,Edward W. Poitras,The Stars And Other Korean Short Stories,Heinemann Asia,1980.0,Hwang Sun Won/Hwang Sun-Won
1488,1488,Fiction,황순원,Hwang Sun-won,The Children,Edward W. Poi,The Drizzle And Other Korean Short Stories: Modern Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Hwang Sun won/Hwang Sun-won
1489,1489,Fiction,황순원,Hwang Sun-Won,The Cloudburst,Edward W. Poitras,The Stars And Other Korean Short Stories,Heinemann Asia,1980.0,Hwang Sun Won/Hwang Sun-Won
1491,1491,Fiction,황순원,Hwang Sun-Won,The Crane,Edward W. Poitras,The Stars And Other Korean Short Stories,Heinemann Asia,1980.0,Hwang Sun Won/Hwang Sun-Won
1492,1492,Fiction,황순원,Hwang Sun-Won,"The Curtain Fell, But Then","Bruce Fulton, Ju-Chan Fulton",The Book Of Masks: Stories,Readers International,1989.0,Hwang Sun Won/Hwang Sun-Won
1493,1493,Fiction,황순원,Hwang Sun-Won,The Diving Girl,Edward W. Poitras,The Stars And Other Korean Short Stories,Heinemann Asia,1980.0,Hwang Sun Won/Hwang Sun-Won
1494,1494,Fiction,황순원,Hwang Sunwŏn,The Dog Of Crossover Village,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1495,1495,Fiction,황순원,Hwang Sun-won,The Drizzle,Kim Chong-U,The Drizzle And Other Korean Short Stories: Modern Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Hwang Sun won/Hwang Sun-won
1497,1497,Fiction,황순원,Hwang Sunwŏn,The Gardener,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1499,1499,Fiction,황순원,Hwang Sun-won,The Moon And The Crab's Legs,Edward W. Poi,The Drizzle And Other Korean Short Stories: Modern Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Hwang Sun won/Hwang Sun-won
1503,1503,Fiction,황순원,Hwang Sunwŏn,The Offering,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1504,1504,Fiction,황순원,Hwang Sun-Won,The Old Potter,Edward W. Poitras,The Stars And Other Korean Short Stories,Heinemann Asia,1980.0,Hwang Sun Won/Hwang Sun-Won
1505,1505,Fiction,황순원,Hwang Sunwŏn,The Players,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1506,1506,Fiction,황순원,Hwang Sunwŏn,The Pond,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1507,1507,Fiction,황순원,Hwang Sun-Won,The Sacrifice,Edward W. Poitras,The Stars And Other Korean Short Stories,Heinemann Asia,1980.0,Hwang Sun Won/Hwang Sun-Won
1508,1508,Fiction,황순원,Hwang Sun-Won,The Stars,Edward W. Poitras,The Stars And Other Korean Short Stories,Heinemann Asia,1980.0,Hwang Sun Won/Hwang Sun-Won
1509,1509,Fiction,황순원,Hwang Sunwŏn,The Toad,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1514,1514,Fiction,황순원,Hwang Sun-won,Time For You And Me Alone,Kim Chong-U,The Drizzle And Other Korean Short Stories: Modern Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Hwang Sun won/Hwang Sun-won
1515,1515,Fiction,황순원,Hwang Sunwŏn,To Smoke A Cigarette,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1527,1527,Fiction,황순원,Hwang Sunwŏn,Trumpet Shells,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1528,1528,Fiction,황순원,Hwang Sunwŏn,Voices,"Bruce Fulton, Ju-Chan Fulton",Lost Souls: Stories,Columbia University Press,2010.0,Hwang Sunwon/Hwang Sunwŏn
1529,1529,Fiction,황순원,Hwang Sun-Won,Winter Forsythias,"Bruce Fulton, Ju-Chan Fulton",The Book Of Masks: Stories,Readers International,1989.0,Hwang Sun Won/Hwang Sun-Won
1998,1998,Essay,법정,Zen master Bopjong,Possessionless,Brian Barry,"The Sound Of Water, The Sound Of Wind And Other Early Works By A Mountain Monk 　",Jain Publishing Company,2010.0,Zen master Bopjong
1999,1999,Essay,법정,Zen master Bopjong,People Standing Everywhere,Brian Barry,"The Sound Of Water, The Sound Of Wind And Other Early Works By A Mountain Monk 　",Jain Publishing Company,2010.0,Zen master Bopjong
2000,2000,Essay,법정,Zen master Bopjong,From The Soul,Brian Barry,"The Sound Of Water, The Sound Of Wind And Other Early Works By A Mountain Monk 　",Jain Publishing Company,2010.0,Zen master Bopjong
2001,2001,Essay,법정,Zen master Bopjong,Leisurely Chats In The Mountains,Brian Barry,"The Sound Of Water, The Sound Of Wind And Other Early Works By A Mountain Monk 　",Jain Publishing Company,2010.0,Zen master Bopjong
2002,2002,Essay,법정,Zen master Bopjong,"The Sound Of Water, The Sound Of Wind",Brian Barry,"The Sound Of Water, The Sound Of Wind And Other Early Works By A Mountain Monk 　",Jain Publishing Company,2010.0,Zen master Bopjong
2041,2041,Play,오태석,Oh T'ae-sŏk,Bicycle,"Ah-jeong Kim, R.B. Graves",The Metacultural Theater Of Oh T'ae-Sŏk,University of Hawaii Press,1999.0,Oh T'ae sok/Oh T'ae-sok/Oh T'ae-sŏk
2042,2042,Play,오태석,Oh T'ae-sŏk,Ch'un-P'ung's Wife,"Ah-jeong Kim, R.B. Graves",The Metacultural Theater Of Oh T'ae-Sŏk,University of Hawaii Press,1999.0,Oh T'ae sok/Oh T'ae-sok/Oh T'ae-sŏk
2043,2043,Play,오태석,Oh T'ae-sŏk,Intimacy Between Father And Son,"Ah-jeong Kim, R.B. Graves",The Metacultural Theater Of Oh T'ae-Sŏk,University of Hawaii Press,1999.0,Oh T'ae sok/Oh T'ae-sok/Oh T'ae-sŏk
2044,2044,Play,오태석,Oh T'ae-sŏk,Lifecord,"Ah-jeong Kim, R.B. Graves",The Metacultural Theater Of Oh T'ae-Sŏk,University of Hawaii Press,1999.0,Oh T'ae sok/Oh T'ae-sok/Oh T'ae-sŏk
2045,2045,Play,오태석,Oh T'ae-sŏk,Why Did Shim Ch'ong Plunge Into The Sea Twice?,"Ah-jeong Kim, R.B. Graves",The Metacultural Theater Of Oh T'ae-Sŏk,University of Hawaii Press,1999.0,Oh T'ae sok/Oh T'ae-sok/Oh T'ae-sŏk
2046,2046,Play,유치진,Yoo Chi-Jin,The Cow,Jang Won-Jae,"Three Plays: The Cow, The Mud Hut, The Donkey",Colin Smythe Limited,2005.0,Yoo Chi Jin/Yoo Chi-Jin
2047,2047,Play,유치진,Yoo Chi-Jin,The Donkey,Jang Won-Jae,"Three Plays: The Cow, The Mud Hut, The Donkey",Colin Smythe Limited,2005.0,Yoo Chi Jin/Yoo Chi-Jin
2050,2050,Play,유치진,Yoo Chi-Jin,The Mud Hut,Jang Won-Jae,"Three Plays: The Cow, The Mud Hut, The Donkey",Colin Smythe Limited,2005.0,Yoo Chi Jin/Yoo Chi-Jin
2051,2051,Play,유치진,Yu Ch'i-jin,The Ox (1935),Jinhee Kim,Korean Drama Under Japanese Occupation,Homa Sekey Books,2004.0,Yu Ch'i jin/Yu Ch'i-jin
2052,2052,Play,유치진,Yu Ch'i-jin,The Shack (1932),Jinhee Kim,Korean Drama Under Japanese Occupation,Homa Sekey Books,2004.0,Yu Ch'i jin/Yu Ch'i-jin
2056,2056,Play,이강백,Lee Kang-Baek,Chaos And Order At A Gallery,"Alyssa Kim, Hyung-jin Lee",Allegory Of Survival : The Theater Of Kang-Baek Lee,Cambria Press,2007.0,Lee Kang Baek/Lee Kang-Baek
2057,2057,Play,이강백,Lee Kang-Baek,Five,"Alyssa Kim, Hyung-jin Lee",Allegory Of Survival : The Theater Of Kang-Baek Lee,Cambria Press,2007.0,Lee Kang Baek/Lee Kang-Baek
2058,2058,Play,이강백,Lee Kang-Baek,Spring Day,"Alyssa Kim, Hyung-jin Lee",Allegory Of Survival : The Theater Of Kang-Baek Lee,Cambria Press,2007.0,Lee Kang Baek/Lee Kang-Baek
2059,2059,Play,이강백,Lee Kang-Baek,Watchman,"Alyssa Kim, Hyung-jin Lee",Allegory Of Survival : The Theater Of Kang-Baek Lee,Cambria Press,2007.0,Lee Kang Baek/Lee Kang-Baek
2060,2060,Play,이강백,Lee Kang-Baek,Wedding,"Alyssa Kim, Hyung-jin Lee",Allegory Of Survival : The Theater Of Kang-Baek Lee,Cambria Press,2007.0,Lee Kang Baek/Lee Kang-Baek
2061,2061,Play,이근삼,Lee Gun-sam,A Theif At Mom's (2000),Sidney Soo-young Lee,The Grand Retreat And Other Plays,Homa & Sekey,2013.0,Lee Gun sam/Lee Gun-sam
2062,2062,Play,이근삼,Lee Gun-sam,Boar And Deer (2001),Sidney Soo-young Lee,The Grand Retreat And Other Plays,Homa & Sekey,2013.0,Lee Gun sam/Lee Gun-sam
2063,2063,Play,이근삼,Lee Gun-sam,Gesani (1983),Sidney Soo-young Lee,The Grand Retreat And Other Plays,Homa & Sekey,2013.0,Lee Gun sam/Lee Gun-sam
2065,2065,Play,이근삼,Lee Gun-sam,The Grand Retreat (2001),Sidney Soo-young Lee,The Grand Retreat And Other Plays,Homa & Sekey,2013.0,Lee Gun sam/Lee Gun-sam
2066,2066,Play,이근삼,Lee Gun-sam,The Last Performance Of An Old Actor (1998),Sidney Soo-young Lee,The Grand Retreat And Other Plays,Homa & Sekey,2013.0,Lee Gun sam/Lee Gun-sam
